#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,399.7,388.5,160.7,238.1,269.4,378.5,412.0,430.9,444.8,461.2,482.0,513.6,620.6,6859.0,12826.1,4938.2,5000
read,436.2,294.1,160.7,230.6,250.9,424.6,486.6,518.8,541.3,569.1,603.6,660.1,791.8,3745.8,10645.4,10086.6,10000
read,485.8,315.1,160.7,236.9,260.0,455.7,537.7,586.4,623.4,666.9,720.6,796.0,986.3,3827.3,11745.6,14964.0,15000
read,525.4,375.1,160.7,235.3,263.1,496.8,580.8,635.9,682.6,737.4,800.6,880.8,1051.3,3168.4,18400.3,20106.6,20000
read,555.2,318.9,160.7,239.3,268.5,530.8,624.8,682.0,728.5,785.3,854.5,951.1,1136.6,3367.9,9982.2,24976.0,25000
read,577.9,400.7,160.7,240.9,270.9,550.3,653.7,714.0,760.4,818.4,892.2,997.3,1188.4,3794.6,16925.6,29971.8,30000
read,592.8,378.4,160.7,240.4,270.2,554.8,684.7,752.9,801.5,857.3,927.4,1029.8,1248.8,4206.2,13859.2,35043.4,35000
read,604.6,450.6,160.7,242.7,273.0,550.3,684.6,761.4,814.8,874.3,955.5,1083.1,1386.2,5935.0,18475.4,40143.2,40000
read,623.9,454.0,160.7,249.4,283.7,565.9,709.3,789.8,845.6,910.4,991.8,1121.2,1459.0,4233.0,19515.2,44917.6,45000
read,697.1,444.1,160.7,281.1,334.0,654.3,792.1,862.9,916.7,981.6,1069.0,1219.9,1569.7,4877.5,16977.0,50054.2,50000
read,1342.5,850.2,160.7,961.9,1020.3,1156.6,1220.1,1266.1,1349.0,2041.8,2178.3,2304.6,2508.1,12276.4,31991.7,49746.8,55000
