p95,QPS,target,ts_start,ts_end,cpu_usage
513.9,4967.2,5000,1714239446116,1714239451542,5.4
622.1,10079.0,10000,1714239453048,1714239458425,38.76
709.2,14893.7,15000,1714239459930,1714239465252,54.96
745.8,19896.2,20000,1714239466757,1714239472089,68.82499999999999
821.1,25065.6,25000,1714239473594,1714239478916,77.175
853.8,30014.8,30000,1714239480419,1714239485721,83.65
872.0,34847.4,35000,1714239487224,1714239492517,79.975
881.8,39847.8,40000,1714239494022,1714239499323,83.84
890.0,45049.0,45000,1714239500826,1714239506131,88.1
884.2,49934.2,50000,1714239507635,1714239512938,91.125
912.6,55033.2,55000,1714239514442,1714239519756,96.4
903.5,60005.6,60000,1714239521259,1714239526555,106.35
878.9,64891.0,65000,1714239528059,1714239533358,107.32000000000001
917.2,69868.9,70000,1714239534862,1714239540178,114.725
1478.9,72904.4,75000,1714239541683,1714239546986,120.67500000000001
1315.6,77720.7,80000,1714239548490,1714239553790,122.35
1417.5,75581.1,85000,1714239555294,1714239560592,127.65
1457.8,73892.2,90000,1714239562097,1714239567393,116.48000000000002
1477.4,72641.5,95000,1714239568897,1714239574192,121.42500000000001
1447.8,74374.7,100000,1714239575697,1714239581000,121.95
1425.8,74484.2,105000,1714239582504,1714239587811,121.4
1441.0,74816.0,110000,1714239589315,1714239594613,116.725
1433.3,75558.7,115000,1714239596117,1714239601416,117.91999999999999
1494.3,73286.4,120000,1714239602920,1714239608219,117.10000000000001
1427.5,75983.6,125000,1714239609725,1714239615028,119.175
